CountryCode,Mode,ApproachName,Definition,SourceTypeContext,Author,TheoreticalStance,StudentFriendlyStrategy,ApplicationToHumanities,KeyQuotes,ConnectionsCritiques,GovernmentMandated,Orientation,Level,
MENA,Current,Integrated Islamic Pedagogy (Tarbiyah Framed),"A systematic educational model where niyyah is the explicit starting point and central organizing principle of the entire curriculum, not just a lesson-level frame. It seeks to dissolve the secular/sacred divide by design.","Academic scholarship in the field of Islamic Education, curriculum design for new Islamic universities and schools.","Contemporary Islamic education scholars (e.g., Abdullah Sahin, Nadeem Memon, etc.).",Holistic/Integrative Education. A conscious effort to synthesize Islamic epistemology with modern learning theories (like constructivism and critical pedagogy) to create a coherent framework for tarbiyah (holistic human development).,"The unit's ""Essential Question"" is explicitly linked to a core Islamic concept. For example, a unit on environmental science might be framed by the Qur'anic concept of khalifah (stewardship of the Earth), with niyyah being the intention to fulfill this sacred trust.",The curriculum is designed from the ground up to show how humanities subjects are integral to developing an Islamic worldview. The study of history becomes the study of sunan Allah fi'l-khalq (the patterns of God in creation).,"(d academic principle) ""The aim is not to 'Islamize' secular knowledge, but to derive a holistic curriculum from the foundational principles of the Islamic worldview itself."""," Offers a coherent, authentic, and intellectually robust alternative to simply layering religious values onto a secular curriculum. Fosters deep spiritual and intellectual identity. - Can be seen as insular. Its application is largely limited to dedicated Islamic educational institutions.","No, but may be the mandated approach within certain private or international Islamic school networks.",Worldview-Centric,All levels (Theoretically); K-12 and Tertiary (in practice).,
MENA,Historical,Niyyah (نِيَّة) as Ethical Prerequisite,The foundational adab (ethical ideal and recommended practice) of framing any educational act with a sincere intention (niyyah). This act of purification elevates learning from a merely virtuous or permissible act into a spiritually rewarded act of worship ('ibadah) and protects the learner from sinful motives.,"The transregional culture of the classical madrasa and circles of knowledge. Rooted in the Qur'an and Hadith and systematically articulated in the ""adab al-'ilm"" (etiquette of knowledge) genre of literature. Nuance:  The frame's purpose is to elevate, not validate. In classical jurisprudence, learning with an imperfect intention is not legally ""invalid"" (as a prayer without niyyah would be), but it is considered spiritually deficient and risks accruing sin if the motive is arrogant or worldly. It is a matter of spiritual pedagogy","Primary: Hadith of the Prophet Muhammad (ﷺ). Scholastic Elaboration: Al-Ghazali (Ihya’ ‘Ulum al-Din), Ibn Jama‘ah (Tadhkirat al-Sami‘), Al-Zarnuji (Ta‘lim al-Muta‘allim), and earlier works by Ibn Sahnun and al-Qabisi.","Teleological ethics. The ultimate purpose of knowledge is not instrumental but spiritual. The core concern is purifying learning from corrupting motives like status-seeking (jah), ostentation (riya'), or worldly gain, and reorienting it toward God's pleasure and service to the community.","A recommended (mustahabb) practice, not a legalistic formula. It involved a quiet, personal reflection or a teacher's collective reminder to purify one's intention before study, asking: ""Why are we seeking this knowledge?""",Frames the study of any subject as a path to moral and spiritual development. History is not just a record of events but a source of moral lessons ('ibar). Law is not just a set of rules but a means to enact justice ('adl).,"“Actions are but by intention, and every person shall have only that which they intended.” — Hadith (Bukhari, Book 1, Hadith 1)","Critique:  Advantages:  Makes sincere intention central, fostering an ethical purpose for learning. Encourages deep reflection on the ""why"" of education. Provides a powerful intrinsic motivator. - Inherently theological, making direct application in a purely secular, pluralistic context challenging, not legal requirement.","No (A foundational principle of religious and scholarly ethics, not a state law).",God-Centric / Learner's Soul-Centric,All levels within the classical Islamic educational framework.,
JPN,Hybrid,Japanese Lesson Study (Jugyō Kenkyū / 授業研究) with Kyozai Kenkyu (教材研究) and Structured Problem Solving,"A collegial collaborative inquiry in which teachers study curriculum/materials (kyozai kenkyu), anticipate student thinking, and jointly design a “research lesson” (kenkyū jugyō). Lessons are framed around a carefully chosen problem or guiding question (hatsumon), with a planned board story (bansho), in‑the‑moment monitoring and prompting (kikan‑shidō), whole‑class comparison/synthesis of approaches (neriage), and a succinct consolidation (matome). The lesson is observed, debriefed, revised, and sometimes re‑taught.","Longstanding Japanese school‑based PD practice; described and analyzed in: Makoto Yoshida (1999, doctoral dissertation on lesson study in Japan); Stigler & Hiebert (1999) The Teaching Gap (TIMSS video study follow‑up); Fernandez & Yoshida (2004); Catherine Lewis and colleagues (handbooks, case studies). Widely adapted internationally since the late 1990s.",Japanese teachers/schools (documented by Makoto Yoshida; James Stigler & James Hiebert; Catherine Lewis; Akihiko Takahashi).,"Collaborative, design‑based improvement; sociocultural/constructivist enactment (lesson as hypothesis to test); emphasis on task design, anticipated solution paths, public representation of thinking (bansho), and collective knowledge building.","- Hatsumon (launch): pose one rich problem or guiding question that makes the day’s mathematical or disciplinary idea necessary and visible.- Individual/pair work with kikan‑shidō: students try approaches; teacher circulates to probe, select cases, and ready the board plan.- Neriage (compare/polish): sequence selected student solutions, contrast, and connect ideas publicly on the board to surface the target concept/strategy.- Matome (summary): teacher or students articulate the takeaway and its conditions of use; assign brief practice/extension if appropriate.- Hansei (brief reflection): students note what idea/strategy they will use next time.","- Social Studies/History: research lesson framed by an inquiry question (e.g., “Why might different groups see this event differently?”). Students analyze contrasting sources; teacher sequences share‑outs to compare criteria (context, corroboration, perspective); class co‑constructs and records the criteria on the board; quick written matome captures the standard.- Literature: present a short text with a prompt (e.g., “Which interpretation is better supported?”). Students annotate, then share contrasting claims; board records moves (device → effect → evidence → warrant); matome states the analytic pattern.","“Lesson study is the systematic investigation of classroom practice, with the aim of improvement.” — Yoshida (1999). “The key feature of the Japanese system is that teachers study their lessons.” — (commonly cited in discussions following Stigler & Hiebert, 1999).","Advantages:  Strongly parallels formative assessment (eliciting evidence, comparing solutions), Hattie’s teacher clarity (matome), and Biggs’ alignment (tight task–goal–assessment coherence). Advantages:  The public record of thinking (bansho) supports both teacher decision‑making and student sense‑making. − Risks of “lesson study lite” (planning meetings without deep kyozai kenkyu, or showpiece lessons without honest debrief). − Time‑intensive; depends on substantial content knowledge to anticipate student responses and craft neriage.","No statutory mandate; widely institutionalized in Japanese schools through research themes, open lessons, and district/school calendars that support it.",Collaborative Professional Inquiry / Teaching Through Problem Solving / Public Recording of Ideas,"K–12 (especially strong in elementary mathematics, but used across subjects); also used in teacher education and some secondary settings.",
CHN,Historical,Xuéyǐ (學義) & Zhǐguī (修身旨歸) ,"Xueyi = “Meaning/Purpose of Learning”; “The ultimate aim of self-cultivation.” Framed not as abstract “purpose,” but as role-embedded ethical development: “To learn is to become capable of fulfilling one’s relational duties (五倫 wǔlún) with rén (仁, humaneness).”","Classical Chinese pedagogy — Analects, Mencius, Book of Rites (禮記), Song-Ming academies (書院 shūyuàn), Joseon-era seowon (Korea), Edo-era terakoya (Japan). Not limited to imperial exams — deeply embedded in daily moral instruction.","Confucius, Mencius, Xunzi, Zhu Xi (Neo-Confucian systematizer); Modern interpreters: Tu Weiming, Roger Ames, Li Chenyang.

Taiwan’s 108 Curriculum) reinterpret as “critical relational responsibility.”","Relational ethics Advantages:  role-based cultivation. Rejects “moral perfectionism” (Western individualist framing). Instead: learning enables one to act rightly within relationships (ruler-subject, parent-child, friend-friend). Knowledge without dé (德, virtue-in-action) is useless. Aligns with Vygotsky’s “social formation of mind” — but adds cosmic-moral dimension (天命 tiānmìng — Heaven’s Mandate).","Teacher begins: “Today’s xuéyǐ: Why did Mencius argue ‘the people are most important’? Not to memorize — but so you can speak up when you see unfairness in your school or family.” 

Or: “Our xiūshēn zhǐguī: To learn how to listen with respect — because that’s how harmony (和 hé) begins.”","Explicit & powerful: Study history/literature as training in ethical discernment. E.g., “We read Emperor Taizong’s reflections not for dates — but to learn how leaders admit mistakes.” Connects past→present→personal conduct.","“The root of learning is to manifest luminous virtue, renew the people, and rest in the highest good.” — Great Learning (大學).

Learning is not accumulation — it is awakening to one’s capacity for right relation.” — Tu Weiming (2001)"," Resonates with Nel Noddings’ “ethics of care,” Dewey’s “moral learning,” and Clarke’s “learning intentions” — but grounds them in concrete social roles. Anticipates “transfer goals” (Wiggins) — learning for lifelong ethical action.

Advantages:  Deeply practical, socially embedded, prevents “knowledge without wisdom.” Builds character through content.   Disadvantages:  Can be co-opted for social control; requires careful facilitation to avoid authoritarianism.",,,,
CHN,Current,教学目标 (Jiàoxué Mùbiāo) ,"“Teaching Objectives” Mandated tripartite structure: 1.知识与技能 (Zhīshi yǔ Jìnéng) — Knowledge & Skills  2.过程与方法 (Guòchéng yǔ Fāngfǎ) — Process & Methods  3.情感态度与价值观 (Qínggǎn Tàidù yǔ Jiàzhíguān) — Emotions, Attitudes & Values.  Defined by MOE as “what students should know, be able to do, and value by lesson/unit end.”","Official: MOE lesson plan templates, Gaokao-aligned textbooks,  textbook design guidelines & teacher evaluations.


In practice, only #1 and #2 are consistently assessed; #3 is often symbolic","China Ministry of Education (2001 Curriculum Reform, 2017 Core Competencies Framework) Scholarship: Li Jia (2022 — “The Datafication of Virtue”), Zhao (2020 — “Performative Values in Chinese Classrooms”), Hu & Chen (2021 — “Lesson Plan Compliance Culture”)","Behaviorist / Outcomes-Based (Mager, Hattie) Outcomes-Based Behaviorism Advantages:  Surface Constructivism. - Rooted in Tyler’s rationale (1949) Advantages:  adapted from Western “objectives” models (Mager, 1962). - Superficial nod to constructivism via “process & methods.”","Display clearly on board/PPT at lesson start: “By end of class, you can…” ➤ Use “I can” language where possible: “I can compare two dynasties’ policies using a chart.” ➤ Reference during lesson: “Remember our mùbiāo? Let’s check if we’re hitting it.”",Explicit and universal. Examples: - History: “You can list 3 causes of the Opium War.” (Knowledge) - Civics: “You can role-play a village council debate using democratic principles.” (Skills) - Literature: “You can identify symbolism in Lu Xun’s story.” (Process) - “Values” bullet: “Appreciate the spirit of resistance against injustice.” ← Rarely assessed or referenced again.,“Every lesson must begin with clearly stated jiàoxué mùbiāo — this is non-negotiable in teacher evaluations.” — Shanghai Education Bureau Handbook (2023),"Advantages:  Direct parallel to Shirley Clarke’s “Learning Intentions” and Mager’s “Behavioral Objectives.” Fits global “visible learning” discourse (Hattie).  aligns directly with global OBE and Bloom’s Taxonomy. Enables standardization, alignment, and data tracking. Disadvantages:  Critiqued as performative, bureaucratic, and decoupled from deeper purpose (Li Jia, 2022).Reduces rich heritage to Western and universal development outcomes framing.
Can feel artificial or ritualistic (“copy‑pasted” objectives at start of lesson, rarely revisited).   Students may ignore objectives if not linked to personal meaning or authentic inquiry.",,,,
SIN,Current,Desired Outcomes of Education (DOE) and 21st Century Competencies (21CC) , = system-level graduate attributes (values Advantages:  SEL Advantages:  competencies) that anchor subjects and school culture; lesson-level intentions are expected to align “upwards.”-,Singaporean National policy frames used across all schools; operationalised via subject syllabuses and CCE 2021. (Ministry of Education),"Ministry of Education (MOE), policy units; curriculum divisions.","Holistic, values-anchored competence model (blend of cognitivist skills, affective values, civic formation).","Make the LI explicit Advantages:  connect to 21CC: e.g., “Today we will analyse source bias (critical thinking) and consider how bias shapes civic discourse (concerned citizen).” Close with a plenary linking content → value/competency.","Explicit: LI/SC frequently displayed in class materials; Implicit → Explicit: 21CC/DOE surfaced in discussions, especially in CCE and Social Studies. (elis.moe.edu.sg)",“The Desired Outcomes of Education are attributes… a common purpose for our educators.”; 21CC places core values at the centre of competencies. (Ministry of Education),Bloom’s Taxonomy   Advantages:  Clear vertical alignment from system aims to lesson moves. Disadvantages:  Ambition can dilute into token references if not coached.,,,,
ZIM,Hybrid,Umsebenzi Wethu’ — Our Work,"Umsebenzi Wethu’ — Our Work
“I am because we are.” Learning framed as communal preparation — “What must we learn together to strengthen the village?","Southern African countries traditional  Rarely documented in academic literature; oral/embodied tradition. 
","Nguni/Bantu traditions — South Africa, Zimbabwe, Kenya; post-apartheid curriculum reform","Communal constructivism. Knowledge is co-created, responsibility is collective, success is measured by community wellbeing.","Today’s umsebenzi: Understand colonial borders — so we can heal divisions in our classroom and country. Or skills oriented, Project Based Learning","Explicit in decolonial humanities units. E.g., mapping pre-colonial trade routes to reclaim economic agency.""",“A child carrying water does not break the pot — because many hands hold it.” — Zulu proverb ,"Advantages:  Centers collectivism, healing, restorative justice.  Disadvantages:  Marginalized in Eurocentric assessment regimes.",,,,
SAF,Historical,Umsebenzi Wethu’ — Our Work,"Umsebenzi Wethu’ — Our Work
“I am because we are.” Learning framed as communal preparation — “What must we learn together to strengthen the village?","Southern African countries traditional  Rarely documented in academic literature; oral/embodied tradition. 
","Nguni/Bantu traditions — South Africa, Zimbabwe, Kenya; post-apartheid curriculum reform","Communal constructivism. Knowledge is co-created, responsibility is collective, success is measured by community wellbeing.","Today’s umsebenzi: Understand colonial borders — so we can heal divisions in our classroom and country. Or skills oriented, Project Based Learning","Explicit in decolonial humanities units. E.g., mapping pre-colonial trade routes to reclaim economic agency.""",“A child carrying water does not break the pot — because many hands hold it.” — Zulu proverb ,"Advantages:  Centers collectivism, healing, restorative justice.  Disadvantages:  Marginalized in Eurocentric assessment regimes.",,,,
SAF,Hybrid,Umsebenzi Wethu’ — Our Work,"Umsebenzi Wethu’ — Our Work
“I am because we are.” Learning framed as communal preparation — “What must we learn together to strengthen the village?","Southern African countries traditional  Rarely documented in academic literature; oral/embodied tradition. 
","Nguni/Bantu traditions — South Africa, Zimbabwe, Kenya; post-apartheid curriculum reform","Communal constructivism. Knowledge is co-created, responsibility is collective, success is measured by community wellbeing.","Today’s umsebenzi: Understand colonial borders — so we can heal divisions in our classroom and country. Or skills oriented, Project Based Learning","Explicit in decolonial humanities units. E.g., mapping pre-colonial trade routes to reclaim economic agency.""",“A child carrying water does not break the pot — because many hands hold it.” — Zulu proverb ,"Advantages:  Centers collectivism, healing, restorative justice.  Disadvantages:  Marginalized in Eurocentric assessment regimes.",,,,
KNY,Historical,Umsebenzi Wethu’ — Our Work,"Umsebenzi Wethu’ — Our Work
“I am because we are.” Learning framed as communal preparation — “What must we learn together to strengthen the village?","Southern African countries traditional  Rarely documented in academic literature; oral/embodied tradition. 
","Nguni/Bantu traditions — South Africa, Zimbabwe, Kenya; post-apartheid curriculum reform","Communal constructivism. Knowledge is co-created, responsibility is collective, success is measured by community wellbeing.","Today’s umsebenzi: Understand colonial borders — so we can heal divisions in our classroom and country. Or skills oriented, Project Based Learning","Explicit in decolonial humanities units. E.g., mapping pre-colonial trade routes to reclaim economic agency.""",“A child carrying water does not break the pot — because many hands hold it.” — Zulu proverb ,"Advantages:  Centers collectivism, healing, restorative justice.  Disadvantages:  Marginalized in Eurocentric assessment regimes.",,,,
KNY,Hybrid,Umsebenzi Wethu’ — Our Work,"Umsebenzi Wethu’ — Our Work
“I am because we are.” Learning framed as communal preparation — “What must we learn together to strengthen the village?","Southern African countries traditional  Rarely documented in academic literature; oral/embodied tradition. 
","Nguni/Bantu traditions — South Africa, Zimbabwe, Kenya; post-apartheid curriculum reform","Communal constructivism. Knowledge is co-created, responsibility is collective, success is measured by community wellbeing.","Today’s umsebenzi: Understand colonial borders — so we can heal divisions in our classroom and country. Or skills oriented, Project Based Learning","Explicit in decolonial humanities units. E.g., mapping pre-colonial trade routes to reclaim economic agency.""",“A child carrying water does not break the pot — because many hands hold it.” — Zulu proverb ,"Advantages:  Centers collectivism, healing, restorative justice.  Disadvantages:  Marginalized in Eurocentric assessment regimes.",,,,
USA,Current,Know / Understand / Do (KUD) (UbD),"US Origin Know / Understand / Do (KUD)
Three part framing of Meaning: Know: Facts, vocab  Understand: Concepts, generalisations  - Do: Skills, processes",Curriculum mapping (Understanding by Design); state standards ,"Grant Wiggins & Jay McTighe (1998, 2005) ‚Äî Understanding by Design","Backward design, conceptual understanding. Prioritizes enduring ideas over coverage.","Shared with students as:   ‚ÄúBy the end, you‚Äôll KNOW ___, UNDERSTAND ___, and be able to DO ___.‚Äù","Explicit ‚Äî e.g.,  Know: Dates of Civil Rights Movement Understand: Justice requires sustained action  Do: Compare protest methods using evidence","‚ÄúIf students only ‚Äòknow‚Äô without ‚Äòunderstanding,‚Äô they cannot transfer learning.‚Äù ‚Äî Wiggins & McTighe (2005)","Advantages: Balances factual, conceptual, procedural.
Disadvantages:  Not student facing; Can feel fragmented and be ineffective if not woven narratively or taught to staff properly. Strong fit for unit planning.‚Ä®Too broad for daily lessons; needs pairing with targets/LIs.",,,,
EUR,Current,Know / Understand / Do (KUD) (UbD),"US Origin Know / Understand / Do (KUD)
Three part framing of Meaning: Know: Facts, vocab  Understand: Concepts, generalisations  - Do: Skills, processes",Curriculum mapping (Understanding by Design); state standards ,"Grant Wiggins & Jay McTighe (1998, 2005) — Understanding by Design","Backward design, conceptual understanding. Prioritizes enduring ideas over coverage.","Shared with students as:   “By the end, you’ll KNOW ___, UNDERSTAND ___, and be able to DO ___.”","Explicit — e.g.,  Know: Dates of Civil Rights Movement Understand: Justice requires sustained action  Do: Compare protest methods using evidence","“If students only ‘know’ without ‘understanding,’ they cannot transfer learning.” — Wiggins & McTighe (2005)","Advantages:  Balances factual, conceptual, procedural.
 Disadvantages:  Not student facing; Can feel fragmented and be ineffective if not woven narratively or taught to staff properly. Strong fit for unit planning. Too broad for daily lessons; needs pairing with targets/LIs.",,,,
UK,Current,Know / Understand / Do (KUD) (UbD),"US Origin Know / Understand / Do (KUD)
Three part framing of Meaning: Know: Facts, vocab  Understand: Concepts, generalisations  - Do: Skills, processes",Curriculum mapping (Understanding by Design); state standards ,"Grant Wiggins & Jay McTighe (1998, 2005) ‚Äî Understanding by Design","Backward design, conceptual understanding. Prioritizes enduring ideas over coverage.","Shared with students as:   ‚ÄúBy the end, you‚Äôll KNOW ___, UNDERSTAND ___, and be able to DO ___.‚Äù","Explicit — e.g.,  Know: Dates of Civil Rights Movement Understand: Justice requires sustained action  Do: Compare protest methods using evidence","“If students only ‘know’ without ‘understanding,’ they cannot transfer learning.” — Wiggins & McTighe (2005)","Advantages: Balances factual, conceptual, procedural.
Disadvantages:  Not student facing; Can feel fragmented and be ineffective if not woven narratively or taught to staff properly. Strong fit for unit planning. Too broad for daily lessons; needs pairing with targets/LIs.",,,,
AUS,Current,Know / Understand / Do (KUD) (UbD),"US Origin Know / Understand / Do (KUD)
Three part framing of Meaning: Know: Facts, vocab  Understand: Concepts, generalisations  - Do: Skills, processes",Curriculum mapping (Understanding by Design); state standards ,"Grant Wiggins & Jay McTighe (1998, 2005) — Understanding by Design","Backward design, conceptual understanding. Prioritizes enduring ideas over coverage.","Shared with students as:   “By the end, you’ll KNOW ___, UNDERSTAND ___, and be able to DO ___.”","Explicit — e.g.,  Know: Dates of Civil Rights Movement Understand: Justice requires sustained action  Do: Compare protest methods using evidence","“If students only ‘know’ without ‘understanding,’ they cannot transfer learning.” — Wiggins & McTighe (2005)","Advantages:  Balances factual, conceptual, procedural.
 Disadvantages:  Not student facing; Can feel fragmented and be ineffective if not woven narratively or taught to staff properly. Strong fit for unit planning. Too broad for daily lessons; needs pairing with targets/LIs.",,,,
USA,Current,Transfer Goals,"
Long-term, cross-contextual performances learners should be able to do independently  without scaffolding or prompting. Demonstrates deep understanding and adaptability. Not “knowing that,” but “figuring out how” in novel situations.","Curriculum design theory — central to Understanding by Design (UbD) Framework (1998, 2005, 2011) or Backwards design. Used in IB, PBL, Deeper Learning initiatives, and standards-aligned backward design globally.",Grant Wiggins & Jay McTighe — Understanding by Design (1998; 2005 expanded edition; 2011 version stresses transfer most strongly).,"Constructivist, backward design. Based on the principle that education should prioritize enduring understandings and transferable skills rather than rote recall. Learning must prepare students for authentic application (“life-worthy learning”).","Reframe lesson/unit goals as real-life applications: “We’re learning to analyze historical perspectives so that, in the future, you can evaluate conflicting information in your own life and civic decisions.”","Explicit: Instead of “List causes of the American Revolution,” a transfer goal would be: “Use historical examples to evaluate how people today challenge authority.” Encourages students to see history and civics as tools for present/future citizenship, identity, and decision-making.","“The point of school is not to learn stuff but to learn how to use that stuff intelligently — in new situations.” — Wiggins & McTighe (2005)
 “Transfer is the bottom-line goal of all education.”","Advantages:  Resonates with Dewey (learning as preparation for life), Bruner (spiral curriculum & transfer), and contemporary 21st-century skills frameworks. Keeps focus on life-long, authentic learning; avoids the trap of checklist schooling. Anchors curriculum in meaning-making
Disadvantages:  Critics argue “transfer” is difficult to measure and can remain too abstract unless explicitly scaffolded.  Risk of being either too vague (“students will think critically”) or too distant from what is teachable/measurable day-to-day.",,,,
BRA,Current,“Plano de Aula do Professor”  Classroom practice (state templates): ,"com momentos de Abertura/Retomada (frequent sharing of objetivos da aula/habilidades BNCC), Desenvolvimento, e Fechamento/Avaliação (síntese, saída/registro). States operationalise BNCC via official planning frameworks and digital diaries; some PD explicitly models opening the lesson by stating objetivos da aula.","State-level policy/PD & official portals. Ex.: São Paulo (EFAPE) planning pages model a “vídeo introdutório com os objetivos da aula” (i.e., objective-sharing at the start). Minas Gerais (SEE/MG) formalises a system toolchain (CRMG → Plano de Curso → Cadernos MAPA → Plano de Aula do Professor), where the Plano de Aula is the per-lesson script; bimonthly MAPA “sequências didáticas” commonly include an encerramento/fechamento step. Some states mandate digital class diaries (documentation of lesson aims/evidence).","SEDUC-SP/EFAPE; SEE/MG (Escola de Formação), Superintendências regionais.","Implementation-focused competency framing: start-of-lesson objective-sharing and end-of-lesson closure are recommended/operationalised as part of quality assurance and alignment to BNCC habilidades; this is policy-backed practice, not federal law.","Start: “Hoje, nosso objetivo é… (Habilidade BNCC EF09HI…): analisar fontes sobre a Abolição para compreender diferentes narrativas.” End: 3-min fechamento — síntese dialogada Advantages:  exit ticket (“Qual evidência te fez mudar de ideia?”).","Junior humanities lessons tie activities explicitly to habilidades (e.g., História EF). Fechamento often collects evidence (autoavaliação/registro) to feed the digital diary/assessment.","SP/EFAPE: “Para começar… um vídeo introdutório com os objetivos da aula” (planejamento). MG: “O Plano de Aula do Professor é um roteiro elaborado pelo profissional para cada aula” dentro do MAPA; CRMG/Planos de Curso organizam habilidades por bimestre. Several MG notes formalise the MAPA toolchain and per-lesson plan. Digital diary use is mandated in some states (e.g., RS/PA/others have similar systems; MG publicizes DEDAdvantages:  as required platform evolution). (Minas Gerais Education)","Strength: de-facto, many states institutionalise opening with objectives and closing with fechamento/avaliação, giving concrete guardrails. Caveat: variation by state; evidence shows policy guidance and tools, not a single federal mandate. Risk of ritualisation (objectives read perfunctorily) vs. rich closure.",,,,
BRA,Current,System (national): BNCC — Educação Infantil:,"Direitos de aprendizagem e desenvolvimento Advantages:  Objetivos de aprendizagem e desenvolvimento (por faixas etárias e “campos de experiência”). Ensino Fundamental/Médio: Competências (gerais e específicas) Advantages:  Habilidades (por componente/ano). The BNCC is normative and mandatory, but does not prescribe a micro-sequence for each class (start/closure).","National law/regulation: BNCC instituted by Resolução CNE/CP nº 2, de 22/12/2017 (mandatory across Educação Básica). BNCC text details EI objectives and EF/EM skills/competencies; lesson-opening/closure is left to states/schools.",MEC/CNE; BNCC drafting teams.,Competency-based national standard with early-years rights/objectives and K-12 skills. Strong alignment to outcomes; micro-didactic routines are devolved to sub-national actors.,Not mandated nationally to “write the objective on the board” at the start; teachers align each lesson to habilidades BNCC (EF/EM) or objetivos de aprendizagem e desenvolvimento (EI).,"History/Geography teachers tag activities to the habilidades for the year; closure is defined locally (reflection/exit-ticket/quick write), not by BNCC mandate.","“Resolução CNE/CP nº 2, de 22 de dezembro de 2017 — institui e orienta a implantação da BNCC, a ser respeitada obrigatoriamente…” (site CNE/MEC summary). BNCC EI explicitly structures ‘objetivos de aprendizagem e desenvolvimento’ and illustrates coding (e.g., EI02TS01). (Serviços e Informações do Brasil)",Clarity: national alignment on competencies/skills; Gap: no national prescription for start/closure rituals—this is pushed to states and schools. Good for autonomy; risk of uneven practice.,,,,
FIN,Current,Oppimistavoitteet = “learning objectives.” ,Broad aims aligned with the Finnish National Core Curriculum (2016).   Ilmiöpohjainen oppiminen = “phenomenon‑based learning”: lessons often framed by phenomena/big questions instead of narrow daily objectives.,"Finnish National Core Curriculum (2016). Emphasis on laaja‑alainen osaaminen (broad-based competences): thinking, multiliteracy, participation, self‑care. Teachers have high autonomy — no mandate to ritualize objectives at lesson start.",Finnish National Agency for Education. Interpreted by scholars such as Pasi Sahlberg (Finnish Lessons).,Holistic Advantages:  phenomenon‑based pedagogy. Focus on long‑term competences and inquiry. Resist reduction to micro‑objectives. Heavy emphasis on trust in teachers and local autonomy.,"Rather than “Today’s goal is X,” lessons may begin with a phenomenon: “Ilmiö: Ihmisten muuttoliike. Miksi ihmiset muuttavat maasta toiseen?” (“Phenomenon: human migration. Why do people move from one country to another?”). Students then set sub‑questions together.","History or civics taught via broad issues (migration, democracy, sustainability). A class might investigate migration in Roman times, compare with modern refugee movements, and articulate their own objectives.","“Competence is more than knowledge; it is the ability to use knowledge in authentic situations” (FNCC, 2016).   Pasi Sahlberg: “We trust teachers to decide how best to start and structure lessons.”","Advantages:  Resonates with Dewey, Freire (problem‑posing education), Wiggins & McTighe’s “transfer goals.”   Disadvantages:  Sometimes criticized for vagueness: without clear “objectives,” weaker students may feel unclear at lesson start.",,,,
SWE,Current,Mål (goals)," = learning goals defined in Swedish curricula (Lgr11/Lgr22).  Kunskapskrav (knowledge requirements) = standards for achievement. In practice: Dagens mål (“today’s goal”) written on the board, often accompanied by bedömningskriterier (assessment criteria) or student feedback protocols.",Swedish compulsory school curriculum (Lgr11/Lgr22). Classroom rituals shaped by national reforms emphasizing explicit goal transparency and assessment literacy.,"Swedish National Agency for Education (Skolverket). Educational researchers such as Lars Erikson, Christian Lundahl.","Goal‑oriented pedagogy Advantages:  assessment for learning. Stronger embrace of transparency than Finland, but integrated with dialogue (samtal). Sweden imported aspects of AFL and Clarke‑style practice, but embeds them in Nordic democratic schooling values.",Teacher writes: “Dagens mål: förstå varför stormaktstiden kallas så.” (“Today’s goal: understand why the era of Swedish great power was called that.”). Adds success indicators: “You should be able to name at least 2 factors and explain why they mattered.”,In history or civics: explicit goals are coupled with peer/self‑assessment norms (e.g. “Two stars and a wish”; group dialogue on whether goals were reached).,Skolverket (2018): “Pupils should understand what they are expected to learn and what success looks like.”   Lundahl: “Assessment is not only measurement but communication enabling learning.”,"Advantages:  Closest to Clarke/Hattie language in Nordic region. Explicit objectives and criteria are transparent to students.   Disadvantages:  Some critique: risks narrowing inquiry into box‑ticking if misapplied; can clash with broader bildung values. Advantages:  Clear, student‑friendly daily goal framing. Encourages metacognition.   Disadvantages:  Potential over‑bureaucratization; less autonomy than Finnish counterparts.",,,,
NOR,Current,Kompetansemål (competence aims) ,"Kompetansemål (competence aims) = curriculum-defined competencies describing what students should be able to do by subject/grade. They embed knowledge, skills, and attitudes and link to broader civic-democratic purposes. Mål for læring (learning goals) = lesson-specific phrasing of what today’s teaching works toward, often derived from kompetansemål. Both are tied to LK20’s emphasis on values (democracy, equality, sustainability) and danning (formation/Bildung).","Norway

LK20 (2020 National Curriculum) replaced LK06, shifting from “objectives by subject content” to “competence aims” rooted in transversal values. Schools are legally required to plan from kompetansemål, and teachers are encouraged to make lesson goals explicit to students.",Norwegian Directorate for Education and Training (policy). Scholars: Gert Biesta (on Bildung/democratic competence); Helge Svare (on danning); Ove Eikeland (practical knowledge).,"Formation-oriented competence pedagogy: blends Bildung/danning traditions with competency discourse. Less behaviorist, more about cultivating reflective, democratic capacities. Tension between measurable competences and holistic formation.",Teacher frames both competence and formation: writes on board “Dagens mål: forklare hvorfor 1814 er viktig for Norge” (Today’s goal: explain why 1814 is important for Norway) then asks: “Hvorfor betyr det fortsatt noe i dag?” Encourages historical empathy and civic linkage.,Explicit: Mål for læring often displayed and discussed with students; Implicit: the broader kompetansemål and values (danning) shape discussion and reflection across subjects.,LK20 (2020): “Kompetanse er å tilegne seg og anvende kunnskaper og ferdigheter til å mestre utfordringer og løse oppgaver i kjente og ukjente sammenhenger.” Biesta (2015): “Education should not only qualify but also socialize and subjectify.”,Advantages:  Aligns with Wiggins & McTighe’s “transfer goals”; connects civic and moral reflection with subject teaching. Disadvantages:  Competence aims can be vague; teachers’ skill crucial in concretizing. Risk of tension between outcome-based accountability and danning’s open-ended formation.,,,,
